movie_name,male_mentions,male_total_centrality,male_avg_centrality,male_cast_count,female_mentions,female_total_centrality,female_avg_centrality,female_cast_count,mentions_ratio,centrality_ratio,cast_ratio,avg_centrality_diff
100 Days,37.0,382.5,1.363181730694046,5,93.0,2176.6,3.426599069775252,5,0.3978494580876403,0.1757327941855496,0.99999980000004,-2.063417339081206
13B,32.0,326.5,1.2114249843063403,3,7.0,222.86666666666667,1.2591337099811677,3,4.57142791836744,1.4650014890891347,0.9999996666667778,-0.047708725674827424
1920,43.0,458.33333333333337,0.7022138680033417,3,38.0,516.8333333333333,1.6692396786300727,2,1.1315789175900286,0.8868107045079446,1.499999250000375,-0.967025810626731
1920 London,66.0,2729.2999999999997,2.388873206304399,3,29.0,1852.3666666666663,3.1184624017957345,2,2.2758619904875177,1.4734123905597818,1.499999250000375,-0.7295891954913354
1942: A Love Story,67.0,2334.0,3.7506691928559226,8,11.0,398.5,5.108974358974359,1,6.090908537190133,5.856963598853291,7.9999920000080005,-1.358305166118436
1947 Earth,0.0,28.5,0.9193548387096774,1,0.0,159.0,7.46875,2,0.0,0.1792452818915391,0.499999750000125,-6.549395161290323
2 States,0.0,1717.1999999999998,4.670408612716514,5,0.0,2283.5,9.930678179604646,3,0.0,0.7520035030645923,1.6666661111112961,-5.260269566888132
23rd March 1931: Shaheed,16.0,3032.934632034632,11.6651332001332,2,1.0,595.3358585858585,11.232752048789784,1,15.999984000016001,5.094493441306346,1.9999980000020001,0.4323811513434155
3 A.M.,11.0,75.0,0.3048780487804878,2,4.0,378.6380952380952,6.310634920634921,1,2.749999312500172,0.19807832530628006,1.9999980000020001,-6.005756871854433
3 Idiots,109.0,4192.383333333333,5.089004066833843,14,10.0,888.6666666666667,7.752125850340136,2,10.89999891000011,4.717610647354526,6.99999650000175,-2.663121783506292
36 China Town,5.0,787.0,4.606060606060606,8,2.0,1467.0,14.446538461538461,4,2.499998750000625,0.5364689839560538,1.999999500000125,-9.840477855477854
36 Chowringhee Lane,5.0,153.0,2.3998579545454546,2,27.0,1207.0,5.245003770739065,2,0.18518517832647488,0.1267605632752605,0.99999950000025,-2.8451458161936105
36 Ghante,3.0,4.0,0.6666666666666666,2,1.0,0.0,0.0,1,2.9999970000030003,4000000.0,1.9999980000020001,0.6666666666666666
8 x 10 Tasveer,53.0,2581.333333333333,6.424977578657139,7,9.0,507.6666666666666,3.8648801447308907,2,5.8888882345679745,5.084701237521928,3.499998250000875,2.5600974339262486
88 Antop Hill,123.0,3163.166666666667,2.6828251518723194,9,79.0,1439.5,2.67875211497758,3,1.556962005608076,2.1974065053624594,2.9999990000003334,0.004073036894739257
A Flat,31.0,706.5,1.560245194527472,4,12.0,1011.0,9.739325549783066,3,2.583333118055574,0.6988130556886122,1.333332888889037,-8.179080355255595
A Flying Jatt,58.0,3280.766666666667,4.306745949818977,6,1.0,208.5,2.512030516431925,3,57.999942000058006,15.735091850990768,1.9999993333335555,1.7947154333870516
A Wednesday!,46.0,2510.833333333333,2.49991150363037,6,2.0,215.5,4.8977272727272725,1,22.99998850000575,11.651198708501784,5.999994000006001,-2.3978157690969026
ABCD 2,63.0,4079.3,4.798152431783526,7,9.0,111.0,1.6432835820895524,2,6.999999222222309,36.75045011936532,3.499998250000875,3.154868849693974
Aa Ab Laut Chalen,222.0,6640.099999999999,5.50519261487573,10,61.0,1308.7333333333336,2.879346315760511,4,3.6393442026337017,5.073684474753946,2.499999375000156,2.625846299115219
Aa Gale Lag Jaa,0.0,896.5,4.0600707044006015,3,0.0,607.8333333333334,6.119642857142857,2,0.0,1.4749108832329405,1.499999250000375,-2.0595721527422555
Aabra Ka Daabra,1.0,16.0,1.2307692307692308,1,2.0,26.5,0.53,1,0.499999750000125,0.6037735621217524,0.9999990000010001,0.7007692307692308
Aadmi,15.0,797.9166666666667,4.218417363725537,5,1.0,186.0,12.4,1,14.999985000015002,4.289874528907485,4.999995000005001,-8.181582636274463
Aadmi Aur Apsara,24.0,463.3333333333333,4.458669108669109,2,24.0,350.0,1.9021739130434785,1,0.999999958333335,1.3238095200272109,1.9999980000020001,2.5564951956256303
Aadmi Khilona Hai,34.0,690.5,1.915922421859238,5,7.0,107.0,2.3260869565217392,1,4.857142163265405,6.453270967726439,4.999995000005001,-0.41016453466250136
